公众号名称,最近更新文章标题
Apache Iceberg,Community Over Code Asia 2025 专题介绍…
Apache StreamPark,从 Apache 顶级项目到创业征程:一个开源人的…
Apache Paimon,Yelp 如何在 AWS 上借助流式湖仓实现数据…
Apache Celeborn,Celeborn 如何让 EMR Serverless Spark 的 …
SelectDB,度小满：从 Greenplum 迁移至 Doris、年省…
Apache Flink,（二）走进阿里云实时计算Flink版|场景案例篇
Apache Fluss,从 Lakehouse 到 Streamhouse：Apache Fl…
SeaTunnel,SeaTunnel × Gravitino：Schema URL 驱动…
StarRocks,「直播预约」StarRocks 小课堂
Apache Kyuubi,让 Spark History Server 对 AI Agent 友好
Alluxio,Tech Talk|与 Oracle、Alluxio 专家线上畅聊
Apache Hudi,2025 年 12 月 Hudi 社区新闻
海豚调度,数据调度选型-DolphinScheduler凭什么替代…
周冲的影像声色,最近发生一件事，非常震撼。
担风袖月人,第10放映室：周星驰：小人物的无所谓就是小…
黄有璨,我 6 岁的女儿，开始学赚钱了
42章经,优化胜率而非赔率，把一件事做到理论上该有…
小荻老师,2026春晚节目推荐+春节万能聊天指南
小川叔,照片在最后一张
菁城子,马斯克改变了人类航天史
连岳,我38岁，离异，现在的男友30岁，未婚，曾…
槽边往事,终于等到了这一天
魏小河流域,头部读书博主被打假，但其实无人在乎
梁惠王的云梦之泽,我和猫猫在南昌
张佳玮写字的地方,“卧龙凤雏，得一可安天下？”
张鸣,押宝式的人生和一根筋式的人生
小声比比,3年级身高1米7，这特么是8岁？？
陈茂源星座,12星座豪门贵族排行榜
春楠整理,实验，为绘画积累101-200小时
在家ZAIJIA,我在 CIFF 看见了 1 亿只宠物“住进”家的样子
田螺姑娘hhhaze,「厨此以外」97. 营养师顾中一：我和我全家…
日食记,预感一小时内就会抢空。
迷迭香Rosemary,肉香量大的流油内蒙肉焙子，吃一个能顶一天！
少数派,为了让你的笔记不再「吃灰」，我设计了一套…
数字尾巴,谁会为这抹红买单？新一代 SU7 赤霞红实拍
果壳,网上流行的“口罩绑水龙头”大法，我劝你别…
香帅的金融江湖,央行集体按兵不动，风险上行|财富周报
行动派琦琦,在真伪难辨的绿松行业里，我遇到了一位坚持…
萧秋水,零基础教程：在 MiniMax 上用 AI 一键生成唯…
古典古少侠,用了AI，你为什么反而更累了？
邹小强,为什么很多人用了 AI，反而更忙了？
秋叶AIPPT,豆包又更新了！5个免费AI新功能，让你效率…
曹将,说一个用 AI 的小绝招：不把鸡蛋放一个篮子里…
甜姐聊副业,大反转！全网盯了 7 天的 DeepSeek V4，最…
Susan的成长空间,如何在复杂的人际关系中保护自己
SusanKuang,你好，2026|我的投资学习进展与书单推荐
狗熊有话说,语音笔记自动化：我是怎么把每天的碎碎念变…
MacTalk,扒一扒 Cursor 套壳 Kimi 的 AI 瓜：开始 C…
大青在线网络,【青州名企】山东欧化化工有限公司招聘信息…
青州就业人才,好岗天天见！山东金必来生物科技有限公司
青州通网信息中心,2026年山东中烟招聘公告，青州16人
谷雨实验室,我，毕业一年，换了四份工作
腾讯科技,当龙虾代替我们去工作和消费，传统经济学法…
虎嗅APP,中国年轻人止损的最后一招：在通胀地区赚钱…
InfoQ,网易回应“用AI替代所有外包岗位”：不实，…
极思TopMinds,速递：马斯克又要搞大事：官宣Terafab！
Tech星球,95亿身家富豪入股西贝；360回应傅盛指周鸿…
36氪,月薪3000的职校生，正在「干掉」北影导演
廣告狂人,30岁的报喜鸟，给国牌上了一课
姜茶茶,200人规模的甲方，品牌部就1个人，全年预…
三里屯信息流,消耗逆势暴涨120%复盘：小游戏买量卷不动…
运营研究社,做男人的“战袍”，这个军事网站跨界男装卖…
电商界,自营+硬核物流，京东Joybuy正式上线欧洲
广告从业者自习室,抖音私信链路变迁，背后的“闭环升级”逻辑
元宝,🦞送虾了！来元宝派免费领虾！
阿里巴巴,阿里事儿：全球首个企业级Agent平台“悟空…
字节跳动技术团队,OpenViking 实战教程：搭建多仓库代码语义…
OSC开源社区,当龙虾成为 OPC 一人公司的合伙人
黑马程序员,今年春招的含金量可能是近几年最高的！
字节跳动开源,OpenViking x OpenClaw：开箱即用 解决 A…
开发者阿橙,阿里云把“养虾”门槛打下来了，JVSClaw真…
百度,百度一「虾」🦞“龙虾”全家桶开张！手机、…
货拉拉技术,从 RAG 到 GraphRAG：货拉拉元数据检索应…
滴滴技术,滴滴云平台事业群热招中！“云端”有位，虚…
腾讯混元,腾讯最新财报：混元智能水平持续提升
博客园,告别复杂部署！YouClaw 来了
阿里云,阿里云Q3财报：增速36%创新高，AI连续三位…
京东技术,2026 京东零售技术国际顶会论文合集第一期 …
傅盛,三万为什么这么能干？装上这15个Skill就开…
DataFunTalk,Cursor 自研模型反超 Opus 4.6！价格脚踝斩，…
YouClaw,一只 50 MB 的龙虾框架，和龙虾大战的下半场
阿里技术,别让格式杀死思想：Logics-Parsing V2定义…
阿里云开发者,企业级 Agent 多智能体架构与选型指南 -- 来…
阿里云瑶池数据库,OpenClaw「虾搞」数据库·上海站，议程来了
神策数据,这个 Data Agent，即将改变企业使用数据的…
小米技术,【申报指南】小米揭榜挂帅 — 2026 科研专项
快手技术,AI x 大前端性能稳定性：快手亿级 DAU 下的…
阿里云大数据AI平台,EMR Serverless Spark 携手 PAI/百炼，开启…
高德技术,高德 ABot-PhysWorld：实现物理一致的机器…
谷歌开发者,突破手机边界：JioHotstar 如何针对折叠屏与…
非著名程序员,微信全面支持接入 OpenClaw
秦路,AI 对数据分析工作的一点改变
程序员鱼皮,刚刚，微信正式接入 OpenClaw！Cursor 被…
机器之心,扩散语言模型总是均匀发力，华为诺亚教它「…
程序员小灰,OpenClaw 接入微信的保姆级教程
极客之家,OpenClaw 管理太复杂？这个开源面板让 AI A…
飞总聊IT,25 亿美金芯片走私案，SuperMicro 创始人被抓
我是程序汪,危险！请马上停止使用JWT！！！
石臻说AI,Google 官方总结的 5 种 Agent Skill 设计模式
轩辕的编程宇宙,官方下场，手机上可以玩Claude Code了，小…
编程导航,面试通过了，Hr说：“你和前公司确认一下离…
技术胖学程序,全体起立！AI版Chrome正式推出！前端开发…
黑夜路人技术,【原创】基于Spec驱动的AI工程化开发指南
一个数据人的自留地,美团 BI 在指标平台和分析引擎上的探索和实践
阮一峰的网络日志,套壳中国大模型撑起500亿美元估值？扒一扒 …
涛哥聊Python,团队版 OpenClaw 开源了！这个 GitHub 项目…
Datawhale,给龙虾装一个专属技能包！试试这个场景
Python之禅,Qclaw真的很鸡肋！
公子龙,OpenClaw 现在也能全自动化生产短剧了！超…
安瑞哥是码农,Openclaw 这 3 个文件，可把我坑惨了.
庆哥 AI 创业笔记,18万+ 阅读，公众号流量主收益有多少？你…
码农翻身,Oracle官宣：让Java爆火的技术，彻底被抛弃…
小白电脑技术,指挥 OpenClaw 抓取数据折腾了一夜，我终于…
CodeSheep,魔幻！MiniMax市值正式超越百度，老板曾是…
刘言飞语,聊聊钉钉的悟空：给一个还没人走路的市场卖…
大数据梦想家,如何判断一个人使用 AI 的水平？
熊大数据,大厂AI数仓的架构和应用实战（上）
一臻数据,养虾之余，从 Doris 向量化索引看词向量发展…
数据社,用这个技能去 PUA 你的 AI 吧
计算广告,知识佃农觉醒：一人公司大师都是卖课的！
吴鲁加,把 AI 助理拉进群聊，然后它差点嫁给别人
码易编程,2026年，大模型AI开发，智能体框架推荐，L…
卖兜搞IT,Mitchell Hashimoto 的 AI 采用之旅：从怀疑…
拔刀刘AI学习,ChatGPT开启广告模式：AI广告元年，普通…
UP咚咚呛,2026伊始，学会用杠杆思维看待发展
林间有风,为什么是 ChatGPT 而不是谷歌引爆了这次 AI …
大数据肌肉猿,“同事工资2.5w，外企苟了9年，今年35岁，…
猴子聊人物,入群领取免费福利啦！
Linux开源社区,Linux 中国开源社区官网正式宣布关闭
猴子SQL,Excel 管理项目步骤 用 Excel 制作甘特图和…
是不是很酷,《中国大模型「顶流群聊」笔记》的笔记
吟游诗人的算法笔记,LLM 简史（二）：天才伊始-GPT-1
大数据技能圈,5年老员工不会的Spark调优，都在这50道面试…
北航计算机学院,青春同航|计算机学院“师生同行·春日跃动”…
清华大学,忽而春风起，万物皆可期
北京邮电大学,在春天！你的 PPT 已被一键更新~
读客熊猫君,真实事件改编！句句像往流脓伤口反复插刀！
浦睿文化,来吧，大口呼吸！每个日常都是诗的入口。
图灵编辑部,新书上市：陶哲轩强推！这可能是今年最值得…
西西弗书店,《挽救计划》口碑炸裂，9.1高分原著比电影还…
人民美术出版社,人民美术出版社成立75周年社庆视觉形象正式…
一个人的书房,请回答：你的，我的，我们的房间——“一个…
中国新闻社,白宫发布高市访美“高光时刻”：跳舞、咧嘴…
澎湃新闻,多所高校开展安全隐患排查
明叔杂谈,美国版“苏伊士时刻”已至，霸权衰落进入…
三联生活周刊,“动辄卖到四五千”，曾经的小众刚需贵成中…
第一财经YiMagazine,阿里不需要重估，只需要再造
单读,历史的即个人的|年度传记写作提名
看理想,“我虽然不至于不幸，但不快乐”
新世相,春天一到，我就会全自动变成一个俗人。
吴晓波频道,中东战局升级，终于开始影响普通人的生活了
罗辑思维,人生不是必须通关的游戏，而是一场“实验”
上海发布,上海这些美食上“桌”，有没有馋到你？
ThinkBook官方账号,ThinkBook×F1 打卡名场面来啦，集雅咖啡现
青州公安,这种“催收短信”，千万别点！